Site,Year,Type,width,color,nectar,sepal,totpinene,indoleN,seeds,seedsinit,flyescape
agg,2015,A,3.43333,NA,NA,NA,NA,NA,56.16,77.22,0.72727
agg,2015,A,3.5,NA,NA,NA,NA,NA,NA,NA,0
agg,2015,A,3.45,NA,NA,NA,NA,NA,63.68,77.53,0.82143
agg,2015,A,3.4,NA,NA,NA,NA,NA,61.15,66.25,0.92308
agg,2015,A,3.5,NA,NA,NA,NA,NA,11.04,14.52,0.75
agg,2015,A,4.02,NA,NA,NA,NA,NA,50.76,65.6,0.77778
agg,2015,A,3.6,NA,NA,NA,NA,NA,25.76,41.86,0.61538
agg,2015,A,3.6,NA,NA,NA,NA,NA,87.95,118.23,0.7381
agg,2015,A,3.85,NA,NA,NA,NA,NA,34.4,91.73,0.375
hyb,2015,H,3.36667,0.29331,1.36198,1.5,135.178,0,60.65,65.71,0.92308
hyb,2015,H,3,0.56006,NA,1.23,104.558,0,9.17,7.27,NA
hyb,2015,H,3.26667,0.48295,0.66406,1.57,63.221,0,39,62.64,0.64286
hyb,2015,H,3.35,0.72246,0.61328,1.5,155.722,0,0,0,NA
hyb,2015,A,4.16667,0.74348,1.77344,1.6,142.573,0,0,0,NA
hyb,2015,H,2.9,NA,NA,NA,NA,NA,1.49,1.49,1
hyb,2015,H,3.4,NA,NA,NA,NA,NA,20.31,19.84,1
hyb,2015,H,2.93333,NA,NA,NA,NA,NA,71.84,99.04,0.7234
hyb,2015,H,3.13333,NA,NA,NA,NA,NA,4.33,4.33,1
hyb,2015,H,2.76667,NA,NA,NA,NA,NA,8.73,10.35,0.83333
hyb,2015,H,3.03333,NA,NA,NA,NA,NA,7.88,17.72,0.44444
hyb,2015,H,3.1,NA,NA,NA,NA,NA,36.57,70.43,0.51852
hyb,2015,H,3.23333,NA,NA,NA,NA,NA,88.42,146.99,0.60377
hyb,2015,H,3.06667,NA,NA,NA,NA,NA,7.13,8.55,0.83333
hyb,2015,H,3.5,NA,NA,NA,NA,NA,NA,0,NA
ten,2015,H,3.4,0.38596,1.09375,1.67,126.213,0,289.82,350.85,0.825
ten,2015,T,2.7,0.14499,0.03906,1.6,105.402,0.5978,79.29,98.18,0.8125
ten,2015,T,3.45,0.03632,0.3125,1.8,149.684,0,307.19,427.57,0.71739
ten,2015,H,3.475,0.39768,0.89844,1.625,197.398,0,242.81,338.05,0.71951
ten,2015,H,3.36667,0.48765,1.13281,1.37,63.29,3.0391,36.88,40.99,0.85714
ten,2015,H,4,0.32186,1.05469,1.85,193.688,7.2853,62.67,138.5,0.44828
ten,2015,H,2.85,0.38877,0.625,1.4,178.141,0,23.59,39.28,0.58333
ten,2015,A,3.75,0.75987,2.73438,1.55,169.006,0,37.55,53.9,0.66667
ten,2015,H,2.86667,NA,0.66406,1.6,47.057,0,92.59,112.23,0.825
ten,2015,A,3.43333,0.40261,2.13541,1.5,104.718,0,124,210.95,0.5814
ten,2015,H,2.75,0.44731,0.15625,1.5,138.788,0,51.38,115.61,0.44444
ten,2015,H,2.7,0.44101,1.71875,1.3,155.93,0,55.78,92.04,0.60606
ten,2015,H,3.05,0.38918,2.57813,1.55,90.192,0,5.67,16.69,0.33333
ten,2015,T,2.85,NA,1.09375,1.7,81.878,1.3512,52.5,54.41,0.94444
ten,2015,H,3.45,0.43982,0.07813,1.65,NA,0.3284,0,0,NA
ten,2015,H,3.3,NA,NA,1.3,NA,NA,0,NA,NA
ten,2015,H,2.85,0.27961,1.25,1.4,127.301,0,44.79,68.21,0.625
ten,2015,H,3.15,0.12417,0.03906,1.75,NA,NA,10.4,15,0.6
