Plant_ID,Block,Source,Treatment,date_sampling,days_setup,nectar_vl,nectar_conc,fl_width,fl_lenght,mean_size,diameter,buds,flowers,buds_2,flowers_2,init_fruits,init_fruits_2,mature_fruits,mature_fruits_2,tot_fruits,tot_fruits2,fruit_tot,mean_seeds,seedset
SC50,4,SC,PR,2021-09-01,20.5,2.071875,41.6,39.565,41.465,40.50386062,7.28,14,25,7,11,57,122,2,2,59,124,91.5,5.2,644.8
SC51,4,SC,D,2021-09-02,21,0.8796875,39.35,33.63,36.04,34.81415229,6.96,0,0,0,0,39,18,47,28,86,46,66,4.6,211.6
SC52,1,SC,C,2021-08-13,1,3.74140625,39.5,49.445,59.43,54.20808381,6.55,10,6,4,7,69,147,36,37,105,184,144.5,4.6,846.4
SC53,4,SC,D,2021-09-16,35,1.25859375,37.25,31.165,34.415,32.74970954,4.69,8,8,4,2,9,31,47,46,56,77,66.5,5,385
SC55,5,SC,PR,2021-09-04,23.5,2.49375,37.9,47.155,50.26,48.68275157,6.03,9,10,2,3,176,146,13,15,189,161,175,4.4,708.4
SC56,7,SC,C,2021-08-28,16,1.20390625,40.85,25.05,31.465,28.07486866,5.25,4,7,0,0,140,138,4,20,144,158,151,4.6,726.8
SC57,4,SC,PR,2021-09-02,21,1.44375,39.45,37.12,40.26,38.65813239,4.94,4,0,2,19,14,19,0,0,14,19,16.5,NA,NA
SC58,4,SC,C,2021-09-01,20,2.97578125,39.7,55.19,58.9,57.0148314,4.89,4,12,1,6,101,128,33,58,134,186,160,4.4,818.4
SC59,5,SC,C,2021-08-26,14,1.7046875,34.05,47.745,54.51,51.01548735,5.6,0,5,0,0,157,248,0,12,157,260,208.5,5,1300
SC6,4,SC,D,2021-09-02,21,1.20703125,36.7,27.235,29.96,28.56502407,5.63,7,12,9,7,16,35,0,0,16,35,25.5,4.8,168
SC60,1,SC,C,2021-08-14,2,3.06796875,45.75,59.23,55.25,57.20539747,7.17,6,3,0,0,123,169,1,38,124,207,165.5,4.6,952.2
SC61,4,SC,PR,2021-09-08,27.5,3.26484375,37.6,41.045,41.88,41.46039797,6.36,24,39,6,10,33,98,8,5,41,103,72,5.4,556.2
SC62,5,SC,D,2021-08-25,13,0.525,37.55,34.23,37.37,35.76555745,5.22,4,7,2,4,4,13,87,88,91,101,96,4.5,454.5
SC63,8,SC,PR,2021-09-08,27,2.93359375,40.9,37.035,44.655,40.66691438,6.05,5,13,0,1,148,194,0,2,148,196,172,4.7,921.2
SC64,7,SC,PR,2021-08-27,15.5,2.3203125,38.5,22.67,40.63,30.34933442,7.2,2,2,0,1,105,162,12,12,117,174,145.5,4.3,748.2
SC65,6,SC,D,2021-09-09,28,0.688548387,34.1,43.36,51.45,47.23210772,4.93,4,17,1,0,30,168,0,26,30,194,112,4.5,873
SC66,4,SC,C,2021-09-02,21,2.93125,40.95,39.215,41.31,40.24887141,5.59,0,4,0,1,151,127,37,45,188,172,180,4.6,791.2
SC68,5,SC,PR,2021-08-25,13.5,2.1421875,41.35,47.12,53.13,50.03484386,4.82,6,14,2,0,99,110,0,4,99,114,106.5,4.9,558.6
SC69,4,SC,PR,2021-09-08,27.5,1.61875,36.6,41.98,41.8,41.88990332,4.28,2,6,3,5,48,53,12,7,60,60,60,5.4,324
SC7,5,SC,D,2021-08-25,13,0.615967742,34.95,33.785,48.445,40.45632614,3.39,1,4,0,0,51,40,27,33,78,73,75.5,3.8,277.4
SC70,6,SC,C,2021-09-09,28,1.70859375,33.7,38.295,45.065,41.54231788,4.02,0,1,0,1,122,111,30,36,152,147,149.5,5.3,779.1
SC71,7,SC,D,2021-08-28,16,1.041290323,38.2,34.405,40.4,37.28219414,6.32,1,2,0,0,29,30,7,14,36,44,40,4.3,189.2
SC72,4,SC,PR,2021-09-08,27.5,3.18828125,41.6,48.3,52.665,50.43530014,5.94,10,18,3,7,47,72,50,53,97,125,111,4.2,525
SC73,7,SC,D,2021-08-28,16,0.736451613,40.15,30.19,37.44,33.62013682,5.46,2,12,0,0,86,113,0,1,86,114,100,5.6,638.4
SC74,5,SC,PR,2021-08-26,14.5,1.390625,42.85,34.88,45.025,39.62918117,3.99,8,15,5,5,110,125,0,2,110,127,118.5,3.7,469.9
SC75,1,SC,C,2021-08-13,1,3.3671875,41.05,55.325,54.515,54.91850667,5.9,4,10,2,10,91,150,0,21,91,171,131,4.6,786.6
SC77,7,SC,D,2021-09-16,35,0.840483871,38.95,27.035,33.705,30.18633259,4.48,3,2,0,5,2,17,0,0,2,17,9.5,4.555555556,77.44444444
SC78,6,SC,C,2021-09-10,29,2.65234375,36.9,38.71,53.32,45.43145606,4.47,1,11,0,1,118,127,13,19,131,146,138.5,4.8,700.8
SC79,6,SC,D,2021-09-08,27,1.001129032,38.55,34.425,37.085,35.73025504,4.57,0,0,2,0,3,0,137,121,140,121,130.5,4.7,568.7
SC8,6,SC,PR,2021-09-09,28,2.059375,37.45,39.43,48.295,43.6379634,5.99,4,10,4,5,120,175,0,3,120,178,149,5.2,925.6
SC80,4,SC,C,2021-09-01,20,2.47578125,41.5,61.275,57.545,59.38071972,7.63,2,5,0,0,99,82,32,38,131,120,125.5,5,600
SC82,4,SC,PR,2021-09-01,20.5,2.05,40.15,41.57,46.94,44.17347394,6.79,12,31,4,5,17,51,0,0,17,51,34,3.2,163.2
